Booster #,Card #,Raridade,Modo Visual,Godmode?,Prêmio Godmode,Valor Reciclagem
13,63,viral,default,NÃO,-,R$ 0.0063
13,64,trash,default,NÃO,-,R$ 0.0063
13,65,meme,default,NÃO,-,R$ 0.0063
14,66,trash,neon,NÃO,-,R$ 0.0126
14,67,trash,default,NÃO,-,R$ 0.0063
14,68,trash,default,NÃO,-,R$ 0.0063
14,69,viral,default,NÃO,-,R$ 0.0063
14,70,meme,default,NÃO,-,R$ 0.0063
15,71,meme,glitch,NÃO,-,R$ 0.0252
15,72,trash,neon,NÃO,-,R$ 0.0126
15,73,trash,default,NÃO,-,R$ 0.0063
15,74,trash,default,NÃO,-,R$ 0.0063
15,75,trash,default,NÃO,-,R$ 0.0063
16,76,trash,default,NÃO,-,R$ 0.0063
16,77,trash,neon,NÃO,-,R$ 0.0126
16,78,trash,default,NÃO,-,R$ 0.0063
16,79,trash,ghost,NÃO,-,R$ 0.0378
16,80,trash,neon,NÃO,-,R$ 0.0126
17,81,trash,ghost,NÃO,-,R$ 0.0378
17,82,meme,glow,NÃO,-,R$ 0.0189
17,83,trash,default,NÃO,-,R$ 0.0063
17,84,trash,glitch,NÃO,-,R$ 0.0252
17,85,meme,glow,NÃO,-,R$ 0.0189
18,86,trash,default,NÃO,-,R$ 0.0063
18,87,trash,default,NÃO,-,R$ 0.0063
18,88,viral,neon,NÃO,-,R$ 0.0126
18,89,trash,default,NÃO,-,R$ 0.0063
18,90,trash,default,NÃO,-,R$ 0.0063
19,91,trash,neon,NÃO,-,R$ 0.0126
19,92,trash,default,NÃO,-,R$ 0.0063
19,93,trash,neon,NÃO,-,R$ 0.0126
19,94,viral,default,NÃO,-,R$ 0.0063
19,95,trash,glow,NÃO,-,R$ 0.0189
20,96,trash,default,NÃO,-,R$ 0.0063
20,97,trash,default,NÃO,-,R$ 0.0063
20,98,trash,default,NÃO,-,R$ 0.0063
20,99,trash,default,NÃO,-,R$ 0.0063
20,100,trash,default,NÃO,-,R$ 0.0063
21,101,meme,default,NÃO,-,R$ 0.0063
21,102,trash,neon,NÃO,-,R$ 0.0126
21,103,meme,holo,NÃO,-,R$ 0.0504
21,104,meme,default,NÃO,-,R$ 0.0063
21,105,trash,default,NÃO,-,R$ 0.0063
22,106,trash,glow,NÃO,-,R$ 0.0189
22,107,trash,default,NÃO,-,R$ 0.0063
22,108,trash,default,NÃO,-,R$ 0.0063
22,109,meme,neon,NÃO,-,R$ 0.0126
22,110,trash,neon,NÃO,-,R$ 0.0126
23,111,trash,glow,NÃO,-,R$ 0.0189
23,112,trash,glow,NÃO,-,R$ 0.0189
23,113,trash,default,NÃO,-,R$ 0.0063
23,114,meme,neon,NÃO,-,R$ 0.0126
23,115,trash,neon,NÃO,-,R$ 0.0126
24,116,trash,default,NÃO,-,R$ 0.0063
24,117,trash,glitch,NÃO,-,R$ 0.0252
24,118,trash,default,NÃO,-,R$ 0.0063
24,119,trash,neon,NÃO,-,R$ 0.0126
24,120,trash,neon,NÃO,-,R$ 0.0126
25,121,trash,default,NÃO,-,R$ 0.0063
25,122,meme,neon,NÃO,-,R$ 0.0126
25,123,trash,glow,NÃO,-,R$ 0.0189
25,124,trash,default,NÃO,-,R$ 0.0063
25,125,trash,default,NÃO,-,R$ 0.0063
26,126,trash,neon,NÃO,-,R$ 0.0126
26,127,trash,neon,NÃO,-,R$ 0.0126
26,128,meme,neon,NÃO,-,R$ 0.0126
26,129,trash,default,NÃO,-,R$ 0.0063
26,130,trash,glitch,NÃO,-,R$ 0.0252
27,131,trash,default,NÃO,-,R$ 0.0063
27,132,meme,glow,NÃO,-,R$ 0.0189
27,133,legendary,neon,NÃO,-,R$ 0.0126
27,134,meme,ghost,NÃO,-,R$ 0.0378
27,135,trash,default,NÃO,-,R$ 0.0063
28,136,meme,default,NÃO,-,R$ 0.0063
28,137,trash,neon,NÃO,-,R$ 0.0126
28,138,trash,default,NÃO,-,R$ 0.0063
28,139,viral,neon,NÃO,-,R$ 0.0126
28,140,meme,default,NÃO,-,R$ 0.0063
29,141,trash,glow,NÃO,-,R$ 0.0189
29,142,trash,default,NÃO,-,R$ 0.0063
29,143,trash,default,NÃO,-,R$ 0.0063
29,144,trash,glitch,NÃO,-,R$ 0.0252
29,145,trash,default,NÃO,-,R$ 0.0063
30,146,meme,default,NÃO,-,R$ 0.0063
30,147,trash,default,NÃO,-,R$ 0.0063
30,148,trash,default,NÃO,-,R$ 0.0063
30,149,meme,default,NÃO,-,R$ 0.0063
30,150,meme,glow,NÃO,-,R$ 0.0189
31,151,trash,default,NÃO,-,R$ 0.0063
31,152,meme,neon,NÃO,-,R$ 0.0126
31,153,trash,default,NÃO,-,R$ 0.0063
31,154,meme,default,NÃO,-,R$ 0.0063
31,155,viral,holo,NÃO,-,R$ 0.0504
32,156,trash,default,NÃO,-,R$ 0.0063
32,157,trash,neon,NÃO,-,R$ 0.0126
32,158,meme,default,NÃO,-,R$ 0.0063
32,159,trash,default,NÃO,-,R$ 0.0063
32,160,trash,default,NÃO,-,R$ 0.0063
33,161,trash,default,NÃO,-,R$ 0.0063
33,162,trash,neon,NÃO,-,R$ 0.0126
33,163,trash,neon,NÃO,-,R$ 0.0126
33,164,meme,neon,NÃO,-,R$ 0.0126
33,165,trash,default,NÃO,-,R$ 0.0063
34,166,meme,default,NÃO,-,R$ 0.0063
34,167,trash,default,NÃO,-,R$ 0.0063
34,168,viral,neon,NÃO,-,R$ 0.0126
34,169,trash,ghost,NÃO,-,R$ 0.0378
34,170,trash,default,NÃO,-,R$ 0.0063
35,171,trash,default,NÃO,-,R$ 0.0063
35,172,trash,glitch,NÃO,-,R$ 0.0252
35,173,trash,neon,NÃO,-,R$ 0.0126
35,174,trash,ghost,NÃO,-,R$ 0.0378
35,175,meme,neon,NÃO,-,R$ 0.0126
36,176,trash,default,NÃO,-,R$ 0.0063
36,177,trash,neon,NÃO,-,R$ 0.0126
36,178,trash,default,NÃO,-,R$ 0.0063
36,179,meme,default,NÃO,-,R$ 0.0063
36,180,trash,default,NÃO,-,R$ 0.0063
37,181,trash,default,NÃO,-,R$ 0.0063
37,182,trash,default,NÃO,-,R$ 0.0063
37,183,trash,default,NÃO,-,R$ 0.0063
37,184,trash,default,NÃO,-,R$ 0.0063
37,185,trash,default,NÃO,-,R$ 0.0063
38,186,trash,default,NÃO,-,R$ 0.0063
38,187,trash,holo,NÃO,-,R$ 0.0504
38,188,trash,default,NÃO,-,R$ 0.0063
38,189,trash,glow,NÃO,-,R$ 0.0189
38,190,trash,default,NÃO,-,R$ 0.0063
39,191,trash,neon,NÃO,-,R$ 0.0126
39,192,meme,default,NÃO,-,R$ 0.0063
39,193,trash,neon,NÃO,-,R$ 0.0126
39,194,trash,glow,NÃO,-,R$ 0.0189
39,195,meme,default,NÃO,-,R$ 0.0063
40,196,trash,default,NÃO,-,R$ 0.0063
40,197,meme,default,NÃO,-,R$ 0.0063
40,198,trash,neon,NÃO,-,R$ 0.0126
40,199,trash,glow,NÃO,-,R$ 0.0189
40,200,trash,default,NÃO,-,R$ 0.0063
41,201,trash,glitch,NÃO,-,R$ 0.0252
41,202,meme,glow,NÃO,-,R$ 0.0189
41,203,trash,default,NÃO,-,R$ 0.0063
41,204,trash,default,NÃO,-,R$ 0.0063
41,205,trash,ghost,NÃO,-,R$ 0.0378
42,206,meme,default,NÃO,-,R$ 0.0063
42,207,trash,default,NÃO,-,R$ 0.0063
42,208,meme,ghost,NÃO,-,R$ 0.0378
42,209,trash,default,NÃO,-,R$ 0.0063
42,210,meme,default,NÃO,-,R$ 0.0063
43,211,meme,default,NÃO,-,R$ 0.0063
43,212,trash,default,NÃO,-,R$ 0.0063
43,213,trash,default,NÃO,-,R$ 0.0063
43,214,meme,default,NÃO,-,R$ 0.0063
43,215,trash,default,NÃO,-,R$ 0.0063
44,216,trash,default,NÃO,-,R$ 0.0063
44,217,meme,default,NÃO,-,R$ 0.0063
44,218,meme,default,NÃO,-,R$ 0.0063
44,219,trash,neon,NÃO,-,R$ 0.0126
44,220,viral,default,NÃO,-,R$ 0.0063
45,221,trash,default,NÃO,-,R$ 0.0063
45,222,trash,neon,NÃO,-,R$ 0.0126
45,223,trash,neon,NÃO,-,R$ 0.0126
45,224,trash,default,NÃO,-,R$ 0.0063
45,225,meme,default,NÃO,-,R$ 0.0063
46,226,meme,default,NÃO,-,R$ 0.0063
46,227,meme,default,NÃO,-,R$ 0.0063
46,228,trash,default,NÃO,-,R$ 0.0063
46,229,trash,default,NÃO,-,R$ 0.0063
46,230,trash,neon,NÃO,-,R$ 0.0126
47,231,trash,default,NÃO,-,R$ 0.0063
47,232,trash,default,NÃO,-,R$ 0.0063
47,233,trash,default,NÃO,-,R$ 0.0063
47,234,trash,default,NÃO,-,R$ 0.0063
47,235,trash,default,NÃO,-,R$ 0.0063
48,236,trash,default,NÃO,-,R$ 0.0063
48,237,trash,default,NÃO,-,R$ 0.0063
48,238,meme,default,NÃO,-,R$ 0.0063
48,239,trash,default,NÃO,-,R$ 0.0063
48,240,trash,default,NÃO,-,R$ 0.0063
49,241,trash,default,NÃO,-,R$ 0.0063
49,242,trash,glitch,NÃO,-,R$ 0.0252
49,243,meme,neon,NÃO,-,R$ 0.0126
49,244,meme,default,NÃO,-,R$ 0.0063
49,245,trash,glow,NÃO,-,R$ 0.0189
50,246,trash,default,NÃO,-,R$ 0.0063
50,247,trash,neon,NÃO,-,R$ 0.0126
50,248,trash,glow,NÃO,-,R$ 0.0189
50,249,trash,default,NÃO,-,R$ 0.0063
50,250,trash,default,NÃO,-,R$ 0.0063
51,251,meme,neon,NÃO,-,R$ 0.0126
51,252,trash,default,NÃO,-,R$ 0.0063
51,253,trash,neon,NÃO,-,R$ 0.0126
51,254,meme,neon,NÃO,-,R$ 0.0126
51,255,trash,neon,NÃO,-,R$ 0.0126
52,256,trash,neon,NÃO,-,R$ 0.0126
52,257,meme,default,NÃO,-,R$ 0.0063
52,258,trash,default,NÃO,-,R$ 0.0063
52,259,meme,glow,NÃO,-,R$ 0.0189
52,260,trash,neon,NÃO,-,R$ 0.0126
53,261,trash,glow,NÃO,-,R$ 0.0189
53,262,legendary,default,SIM,R$ 20.00,R$ 20.0000
53,263,meme,default,NÃO,-,R$ 0.0063
53,264,trash,default,NÃO,-,R$ 0.0063
53,265,meme,default,NÃO,-,R$ 0.0063
54,266,trash,default,NÃO,-,R$ 0.0063
54,267,trash,neon,NÃO,-,R$ 0.0126
54,268,meme,glow,NÃO,-,R$ 0.0189
54,269,meme,default,NÃO,-,R$ 0.0063
54,270,trash,default,NÃO,-,R$ 0.0063
55,271,trash,neon,NÃO,-,R$ 0.0126
55,272,trash,default,NÃO,-,R$ 0.0063
55,273,viral,holo,NÃO,-,R$ 0.0504
55,274,trash,glow,NÃO,-,R$ 0.0189
55,275,trash,default,NÃO,-,R$ 0.0063
56,276,meme,default,NÃO,-,R$ 0.0063
56,277,meme,default,NÃO,-,R$ 0.0063
56,278,trash,default,NÃO,-,R$ 0.0063
56,279,trash,neon,NÃO,-,R$ 0.0126
56,280,trash,default,NÃO,-,R$ 0.0063
57,281,trash,neon,NÃO,-,R$ 0.0126
57,282,trash,neon,NÃO,-,R$ 0.0126
57,283,trash,glitch,NÃO,-,R$ 0.0252
57,284,trash,default,NÃO,-,R$ 0.0063
57,285,meme,glow,NÃO,-,R$ 0.0189
58,286,trash,glitch,NÃO,-,R$ 0.0252
58,287,trash,default,NÃO,-,R$ 0.0063
58,288,trash,default,NÃO,-,R$ 0.0063
58,289,trash,neon,NÃO,-,R$ 0.0126
58,290,trash,default,NÃO,-,R$ 0.0063
59,291,trash,glow,NÃO,-,R$ 0.0189
59,292,meme,neon,NÃO,-,R$ 0.0126
59,293,trash,glow,NÃO,-,R$ 0.0189
59,294,trash,default,NÃO,-,R$ 0.0063
59,295,trash,default,NÃO,-,R$ 0.0063
60,296,trash,default,NÃO,-,R$ 0.0063
60,297,viral,neon,NÃO,-,R$ 0.0126
60,298,trash,neon,NÃO,-,R$ 0.0126
60,299,trash,default,NÃO,-,R$ 0.0063
60,300,trash,default,NÃO,-,R$ 0.0063
61,301,viral,default,NÃO,-,R$ 0.0063
61,302,trash,default,NÃO,-,R$ 0.0063
61,303,trash,default,NÃO,-,R$ 0.0063
61,304,trash,default,NÃO,-,R$ 0.0063
61,305,trash,default,NÃO,-,R$ 0.0063
62,306,meme,default,NÃO,-,R$ 0.0063
62,307,trash,default,NÃO,-,R$ 0.0063
62,308,trash,neon,NÃO,-,R$ 0.0126
62,309,trash,glow,NÃO,-,R$ 0.0189
62,310,trash,default,NÃO,-,R$ 0.0063
63,311,meme,glitch,NÃO,-,R$ 0.0252
63,312,viral,neon,NÃO,-,R$ 0.0126
63,313,meme,default,NÃO,-,R$ 0.0063
63,314,trash,default,NÃO,-,R$ 0.0063
63,315,trash,default,NÃO,-,R$ 0.0063
64,316,meme,default,NÃO,-,R$ 0.0063
64,317,viral,neon,NÃO,-,R$ 0.0126
64,318,trash,neon,NÃO,-,R$ 0.0126
64,319,meme,dark,NÃO,-,R$ 0.0756
64,320,viral,ghost,NÃO,-,R$ 0.0378
65,321,meme,neon,NÃO,-,R$ 0.0126
65,322,trash,neon,NÃO,-,R$ 0.0126
65,323,trash,default,NÃO,-,R$ 0.0063
65,324,trash,glow,NÃO,-,R$ 0.0189
65,325,meme,default,NÃO,-,R$ 0.0063
66,326,viral,default,NÃO,-,R$ 0.0063
66,327,trash,default,NÃO,-,R$ 0.0063
66,328,trash,default,NÃO,-,R$ 0.0063
66,329,meme,default,NÃO,-,R$ 0.0063
66,330,trash,neon,NÃO,-,R$ 0.0126
67,331,trash,default,NÃO,-,R$ 0.0063
67,332,trash,default,NÃO,-,R$ 0.0063
67,333,trash,default,NÃO,-,R$ 0.0063
67,334,trash,default,NÃO,-,R$ 0.0063
67,335,meme,neon,NÃO,-,R$ 0.0126
68,336,meme,default,NÃO,-,R$ 0.0063
68,337,trash,default,NÃO,-,R$ 0.0063
68,338,meme,default,NÃO,-,R$ 0.0063
68,339,trash,neon,NÃO,-,R$ 0.0126
68,340,trash,glow,NÃO,-,R$ 0.0189
69,341,trash,neon,NÃO,-,R$ 0.0126
69,342,trash,default,NÃO,-,R$ 0.0063
69,343,viral,default,NÃO,-,R$ 0.0063
69,344,viral,glitch,NÃO,-,R$ 0.0252
69,345,trash,default,NÃO,-,R$ 0.0063
70,346,trash,glitch,NÃO,-,R$ 0.0252
70,347,trash,glow,NÃO,-,R$ 0.0189
70,348,trash,neon,NÃO,-,R$ 0.0126
70,349,viral,neon,NÃO,-,R$ 0.0126
70,350,trash,ghost,NÃO,-,R$ 0.0378
71,351,trash,default,NÃO,-,R$ 0.0063
71,352,viral,default,NÃO,-,R$ 0.0063
71,353,trash,glow,NÃO,-,R$ 0.0189
71,354,trash,glitch,NÃO,-,R$ 0.0252
71,355,viral,default,NÃO,-,R$ 0.0063
72,356,trash,neon,NÃO,-,R$ 0.0126
72,357,trash,default,NÃO,-,R$ 0.0063
72,358,trash,glow,NÃO,-,R$ 0.0189
72,359,trash,default,NÃO,-,R$ 0.0063
72,360,viral,glitch,NÃO,-,R$ 0.0252
73,361,viral,neon,NÃO,-,R$ 0.0126
73,362,trash,glitch,NÃO,-,R$ 0.0252
73,363,trash,neon,NÃO,-,R$ 0.0126
73,364,trash,default,NÃO,-,R$ 0.0063
73,365,trash,default,NÃO,-,R$ 0.0063
74,366,viral,default,NÃO,-,R$ 0.0063
74,367,meme,glitch,NÃO,-,R$ 0.0252
74,368,meme,dark,NÃO,-,R$ 0.0756
74,369,meme,glitch,NÃO,-,R$ 0.0252
74,370,trash,default,NÃO,-,R$ 0.0063
75,371,meme,default,NÃO,-,R$ 0.0063
75,372,meme,default,NÃO,-,R$ 0.0063
75,373,trash,default,NÃO,-,R$ 0.0063
75,374,meme,default,NÃO,-,R$ 0.0063
75,375,meme,glitch,NÃO,-,R$ 0.0252
76,376,viral,default,NÃO,-,R$ 0.0063
76,377,trash,default,NÃO,-,R$ 0.0063
76,378,trash,default,NÃO,-,R$ 0.0063
76,379,trash,neon,NÃO,-,R$ 0.0126
76,380,trash,default,NÃO,-,R$ 0.0063
77,381,trash,glitch,NÃO,-,R$ 0.0252
77,382,trash,neon,NÃO,-,R$ 0.0126
77,383,meme,default,NÃO,-,R$ 0.0063
77,384,trash,default,NÃO,-,R$ 0.0063
77,385,meme,glow,NÃO,-,R$ 0.0189
78,386,trash,default,NÃO,-,R$ 0.0063
78,387,trash,holo,NÃO,-,R$ 0.0504
78,388,trash,default,NÃO,-,R$ 0.0063
78,389,trash,neon,NÃO,-,R$ 0.0126
78,390,viral,default,NÃO,-,R$ 0.0063
79,391,viral,default,NÃO,-,R$ 0.0063
79,392,trash,default,NÃO,-,R$ 0.0063
79,393,trash,default,NÃO,-,R$ 0.0063
79,394,trash,neon,NÃO,-,R$ 0.0126
79,395,trash,default,NÃO,-,R$ 0.0063
80,396,trash,default,NÃO,-,R$ 0.0063
80,397,trash,default,NÃO,-,R$ 0.0063
80,398,trash,neon,NÃO,-,R$ 0.0126
80,399,trash,neon,NÃO,-,R$ 0.0126
80,400,trash,default,NÃO,-,R$ 0.0063
81,401,trash,default,NÃO,-,R$ 0.0063
81,402,meme,neon,NÃO,-,R$ 0.0126
81,403,trash,default,NÃO,-,R$ 0.0063
81,404,trash,default,NÃO,-,R$ 0.0063
81,405,trash,default,NÃO,-,R$ 0.0063
82,406,trash,ghost,NÃO,-,R$ 0.0378
82,407,trash,default,NÃO,-,R$ 0.0063
82,408,meme,neon,NÃO,-,R$ 0.0126
82,409,trash,default,NÃO,-,R$ 0.0063
82,410,trash,default,NÃO,-,R$ 0.0063
83,411,meme,neon,NÃO,-,R$ 0.0126
83,412,viral,neon,NÃO,-,R$ 0.0126
83,413,trash,default,NÃO,-,R$ 0.0063
83,414,trash,default,NÃO,-,R$ 0.0063
83,415,meme,default,NÃO,-,R$ 0.0063
84,416,trash,default,NÃO,-,R$ 0.0063
84,417,trash,default,NÃO,-,R$ 0.0063
84,418,viral,default,NÃO,-,R$ 0.0063
84,419,viral,default,NÃO,-,R$ 0.0063
84,420,meme,default,NÃO,-,R$ 0.0063
85,421,trash,neon,NÃO,-,R$ 0.0126
85,422,trash,glow,NÃO,-,R$ 0.0189
85,423,trash,default,NÃO,-,R$ 0.0063
85,424,viral,default,NÃO,-,R$ 0.0063
85,425,trash,ghost,NÃO,-,R$ 0.0378
86,426,trash,glitch,NÃO,-,R$ 0.0252
86,427,viral,default,NÃO,-,R$ 0.0063
86,428,trash,ghost,NÃO,-,R$ 0.0378
86,429,trash,neon,NÃO,-,R$ 0.0126
86,430,trash,glow,NÃO,-,R$ 0.0189
87,431,viral,neon,NÃO,-,R$ 0.0126
87,432,trash,neon,NÃO,-,R$ 0.0126
87,433,trash,neon,NÃO,-,R$ 0.0126
87,434,trash,neon,NÃO,-,R$ 0.0126
87,435,meme,default,NÃO,-,R$ 0.0063
88,436,trash,neon,NÃO,-,R$ 0.0126
88,437,trash,glitch,NÃO,-,R$ 0.0252
88,438,trash,default,NÃO,-,R$ 0.0063
88,439,trash,default,NÃO,-,R$ 0.0063
88,440,viral,default,NÃO,-,R$ 0.0063
89,441,legendary,default,NÃO,-,R$ 0.0063
89,442,trash,default,NÃO,-,R$ 0.0063
89,443,viral,default,NÃO,-,R$ 0.0063
89,444,trash,default,NÃO,-,R$ 0.0063
89,445,meme,neon,NÃO,-,R$ 0.0126
90,446,trash,neon,NÃO,-,R$ 0.0126
90,447,legendary,default,NÃO,-,R$ 0.0063
90,448,trash,default,NÃO,-,R$ 0.0063
90,449,trash,glitch,NÃO,-,R$ 0.0252
90,450,meme,default,NÃO,-,R$ 0.0063
91,451,trash,neon,NÃO,-,R$ 0.0126
91,452,trash,default,NÃO,-,R$ 0.0063
91,453,meme,default,NÃO,-,R$ 0.0063
91,454,trash,default,NÃO,-,R$ 0.0063
91,455,trash,ghost,NÃO,-,R$ 0.0378
92,456,trash,default,NÃO,-,R$ 0.0063
92,457,trash,default,NÃO,-,R$ 0.0063
92,458,trash,neon,NÃO,-,R$ 0.0126
92,459,trash,default,NÃO,-,R$ 0.0063
92,460,meme,glow,NÃO,-,R$ 0.0189
93,461,trash,default,NÃO,-,R$ 0.0063
93,462,trash,glow,NÃO,-,R$ 0.0189
93,463,trash,default,NÃO,-,R$ 0.0063
93,464,meme,default,NÃO,-,R$ 0.0063
93,465,meme,glitch,NÃO,-,R$ 0.0252
94,466,trash,default,NÃO,-,R$ 0.0063
94,467,trash,default,NÃO,-,R$ 0.0063
94,468,trash,ghost,NÃO,-,R$ 0.0378
94,469,trash,glitch,NÃO,-,R$ 0.0252
94,470,trash,glow,NÃO,-,R$ 0.0189
95,471,trash,neon,NÃO,-,R$ 0.0126
95,472,trash,default,NÃO,-,R$ 0.0063
95,473,trash,neon,NÃO,-,R$ 0.0126
95,474,trash,neon,NÃO,-,R$ 0.0126
95,475,trash,default,NÃO,-,R$ 0.0063
96,476,trash,default,NÃO,-,R$ 0.0063
96,477,trash,default,NÃO,-,R$ 0.0063
96,478,trash,default,NÃO,-,R$ 0.0063
96,479,trash,default,NÃO,-,R$ 0.0063
96,480,viral,glow,NÃO,-,R$ 0.0189
97,481,trash,glitch,NÃO,-,R$ 0.0252
97,482,trash,default,NÃO,-,R$ 0.0063
97,483,trash,ghost,NÃO,-,R$ 0.0378
97,484,legendary,neon,NÃO,-,R$ 0.0126
97,485,trash,default,NÃO,-,R$ 0.0063
98,486,meme,default,NÃO,-,R$ 0.0063
98,487,trash,default,NÃO,-,R$ 0.0063
98,488,viral,default,NÃO,-,R$ 0.0063
98,489,viral,glow,NÃO,-,R$ 0.0189
98,490,trash,default,NÃO,-,R$ 0.0063
99,491,trash,neon,NÃO,-,R$ 0.0126
99,492,trash,default,NÃO,-,R$ 0.0063
99,493,meme,default,NÃO,-,R$ 0.0063
99,494,trash,neon,NÃO,-,R$ 0.0126
99,495,trash,default,NÃO,-,R$ 0.0063
100,496,meme,default,NÃO,-,R$ 0.0063
100,497,trash,default,NÃO,-,R$ 0.0063
100,498,meme,default,NÃO,-,R$ 0.0063
100,499,trash,default,NÃO,-,R$ 0.0063
100,500,viral,default,NÃO,-,R$ 0.0063
101,501,viral,neon,NÃO,-,R$ 0.0126
101,502,trash,default,NÃO,-,R$ 0.0063
101,503,trash,neon,NÃO,-,R$ 0.0126
101,504,trash,default,NÃO,-,R$ 0.0063
101,505,trash,holo,NÃO,-,R$ 0.0504
102,506,trash,default,NÃO,-,R$ 0.0063
102,507,viral,glow,NÃO,-,R$ 0.0189
102,508,trash,default,NÃO,-,R$ 0.0063
102,509,trash,default,NÃO,-,R$ 0.0063
102,510,legendary,glow,NÃO,-,R$ 0.0189
103,511,trash,default,NÃO,-,R$ 0.0063
103,512,trash,default,NÃO,-,R$ 0.0063
103,513,trash,default,NÃO,-,R$ 0.0063
103,514,viral,neon,NÃO,-,R$ 0.0126
103,515,viral,default,NÃO,-,R$ 0.0063
104,516,trash,default,NÃO,-,R$ 0.0063
104,517,meme,default,NÃO,-,R$ 0.0063
104,518,meme,default,NÃO,-,R$ 0.0063
104,519,trash,neon,NÃO,-,R$ 0.0126
104,520,trash,neon,NÃO,-,R$ 0.0126
105,521,trash,default,NÃO,-,R$ 0.0063
105,522,meme,default,NÃO,-,R$ 0.0063
105,523,trash,default,NÃO,-,R$ 0.0063
105,524,trash,default,NÃO,-,R$ 0.0063
105,525,meme,neon,NÃO,-,R$ 0.0126
106,526,trash,default,NÃO,-,R$ 0.0063
106,527,trash,default,NÃO,-,R$ 0.0063
106,528,trash,default,NÃO,-,R$ 0.0063
106,529,meme,default,NÃO,-,R$ 0.0063
106,530,trash,default,NÃO,-,R$ 0.0063
107,531,meme,default,NÃO,-,R$ 0.0063
107,532,trash,neon,NÃO,-,R$ 0.0126
107,533,trash,default,NÃO,-,R$ 0.0063
107,534,viral,default,NÃO,-,R$ 0.0063
107,535,trash,ghost,NÃO,-,R$ 0.0378
108,536,trash,default,NÃO,-,R$ 0.0063
108,537,trash,glitch,NÃO,-,R$ 0.0252
108,538,trash,neon,NÃO,-,R$ 0.0126
108,539,trash,neon,NÃO,-,R$ 0.0126
108,540,meme,neon,NÃO,-,R$ 0.0126
109,541,trash,neon,NÃO,-,R$ 0.0126
109,542,trash,neon,NÃO,-,R$ 0.0126
109,543,viral,default,NÃO,-,R$ 0.0063
109,544,trash,neon,NÃO,-,R$ 0.0126
