display_id,name,rarity,rarity_value,archetype,trend,frame,valor_brl,description,color_token,effect,contrast,hash
"KRV-040","ShillLost","trash","12","Ganância","19","default","0.47","Shillou 20 projetos. Todos ruggados. Próximo: ""confia"".","#6B6B6B","low","-7","0c6063e29c9c"
"KRV-041","AlfaPretnd","trash","16","Influência","23","default","0.52","Se diz alfa. Mora com os pais. Nunca teve relacionamento.","#6B6B6B","low","-7","a0cb195a6f76"
"KRV-042","HustleFake","trash","18","Ganância","25","default","0.55","Posta rotina produtiva. Real: Netflix 10h.","#6B6B6B","low","-7","db30e7135907"
"KRV-043","TrapSocial","trash","13","Impulso","20","default","0.48","Cai em bait toda semana. Argumenta com bot.","#6B6B6B","low","-7","374a7176599b"
"KRV-044","EngajeFome","trash","15","Influência","22","default","0.51","""Marque 3 amigos!"" Ninguém marca.","#6B6B6B","low","-7","941e68acc76e"
"KRV-045","CoachBluff","trash","19","Ganância","26","default","0.56","Vendeu 2 mentorias. Cliente ghostou. ""Ele não quis sucesso"".","#6B6B6B","low","-7","b08f55f63ac1"
"KRV-046","HashtagSpam","trash","11","Preguiça","18","default","0.45","30 hashtags por post. Reach: orgânico 0.","#6B6B6B","low","-7","7196f0961518"
"KRV-047","CapaFalsa","trash","14","Consumo","21","default","0.49","Capa do Kindle com stock photo. Livro: ChatGPT não revisado.","#6B6B6B","low","-7","61b1f8bb2436"
"KRV-048","RaidNulo","trash","12","Impulso","19","default","0.47","Fez raid. 2 pessoas assistiram. Ambas: bots.","#6B6B6B","low","-7","9ff7334af416"
"KRV-049","RetweetBot","trash","10","Preguiça","16","default","0.43","RT sem ler. 100 posts/dia. Opinião: nenhuma.","#6B6B6B","low","-6","d8ea232ca647"
"KRV-050","SigmaMeme","trash","17","Influência","24","default","0.54","Usa ""sigma grindset"" sem ironia. Trabalha: 0h.","#6B6B6B","low","-7","b4306b9ce1a9"
"KRV-051","WebinárVão","trash","15","Ganância","22","default","0.51","Webinar grátis. Pitch de venda disfarçado. Inscritos: 3.","#6B6B6B","low","-7","a059881a850d"
"KRV-052","ExpoPretens","trash","13","Consumo","20","default","0.48","Comprou ingresso pra evento. Foi pra foto. Networking: 0.","#6B6B6B","low","-7","6e18e8ce372f"
"KRV-053","ViraLixo","trash","14","Informação","21","default","0.49","Tentou viralizar 50 vezes. Resultado: nada.","#6B6B6B","low","-7","29e4a617121d"
"KRV-054","BotFollow","trash","11","Influência","17","default","0.44","Segue 10k. Seguido por 50. Taxa: robô confirmado.","#6B6B6B","low","-6","e0796c9b1a27"
"KRV-055","CopyPasteGM","trash","12","Preguiça","19","default","0.46","""GM"" todo dia. Interação real: zero.","#6B6B6B","low","-7","7cfbe6b0b041"
"KRV-056","AudioFail","trash","16","Impulso","23","default","0.52","Gravou áudio de 5min sem editar. Qualidade: celular no bolso.","#6B6B6B","low","-7","ba173671ad67"
"KRV-057","MetaZumbi","trash","18","Consumo","25","default","0.55","Comprou headset VR. Usou 1 vez. ""É o futuro"".","#6B6B6B","low","-7","81f7804cdc2d"
"KRV-058","PlugDrop","trash","13","Ganância","20","default","0.48","Dropou link em conversa aleatória. Ban instantâneo.","#6B6B6B","low","-7","c62619631bc2"
"KRV-059","SubBeg","trash","15","Influência","22","default","0.51","""Inscreva-se!"" 100 vezes. Ganhou: -5 subs (unsub).","#6B6B6B","low","-7","64c0316f4479"
"KRV-060","GigaFake","trash","19","Ganância","26","default","0.56","Fingiu ser rico. Print de saldo falso. Exposed em 24h.","#6B6B6B","low","-7","37d87553e8a6"
"KRV-061","CarreiraVap","trash","14","Preguiça","21","default","0.49","Mudou de carreira 5 vezes em 1 ano. Ainda desempregado.","#6B6B6B","low","-7","901b7bf06bf5"
"KRV-062","CancelFodas","trash","17","Impulso","24","default","0.54","Tentou cancelar alguém. Tinha 12 seguidores.","#6B6B6B","low","-7","81de8db6d4d4"
"KRV-063","LiveDesert","trash","12","Influência","19","default","0.47","Live com 1 viewer: ele mesmo (segunda tela).","#6B6B6B","low","-7","1a564601f022"
"KRV-064","CloutChase","trash","16","Ganância","23","default","0.53","Faz qualquer coisa por atenção. Resultado: cringe documentado.","#6B6B6B","low","-7","730153ad96c7"
"KRV-065","TempBobo","trash","11","Preguiça","18","default","0.45","Usa template de post. Esquece de trocar nome da marca.","#6B6B6B","low","-7","2d27253c06f2"
"KRV-066","TradeNoob","trash","18","Ganância","25","default","0.55","Day trade sem estudo. Perdeu tudo. ""Mercado tá manipulado"".","#6B6B6B","low","-7","979a90a559f8"
"KRV-067","SelfEterno","trash","13","Consumo","20","default","0.48","300 selfies. 1 post. Nenhum like do crush.","#6B6B6B","low","-7","c5835410f6eb"
"KRV-068","CópiaNota","trash","15","Informação","22","default","0.51","Copia nota de rodapé. Acha que ninguém vai perceber.","#6B6B6B","low","-7","9f8f72e2d6fb"
"KRV-069","DicaSeca","trash","14","Preguiça","21","default","0.49","""Dica: seja você mesmo 🙏"". Engajamento: silêncio.","#6B6B6B","low","-7","0fc4531de37f"
"KRV-070","SpaceFraco","trash","12","Impulso","19","default","0.47","Criou Space. 3 participantes. 2 saíram no meio.","#6B6B6B","low","-7","3fa9e0f88604"
"KRV-071","PropSurda","trash","16","Ganância","23","default","0.52","Propagando produto que nunca usou. Credibilidade: -100.","#6B6B6B","low","-7","28c78e86fa7c"
"KRV-072","PinOrfã","trash","10","Preguiça","16","default","0.43","Board no Pinterest com 1 pin. Descrição: ""Inspiração"".","#6B6B6B","low","-6","33f7db141216"
"KRV-073","AlgoIgnor","trash","17","Influência","24","default","0.54","Algoritmo deu ghosting. Shadow ban permanente.","#6B6B6B","low","-7","4bc57a3c783c"
"KRV-074","PlaySolo","trash","13","Preguiça","20","default","0.48","Joga solo. Sem party. Sem amigos. ""Sou lone wolf"".","#6B6B6B","low","-7","730037526a79"
"KRV-075","ProtFollow","trash","15","Influência","22","default","0.51","Protege tweet. 50 seguidores. Ninguém pede pra seguir.","#6B6B6B","low","-7","1290c04f7f44"
"KRV-076","AfiliZero","trash","18","Ganância","25","default","0.55","Link de afiliado postado 100 vezes. Venda: nenhuma.","#6B6B6B","low","-7","8e36c828be91"
"KRV-077","ReelsLoop","trash","14","Preguiça","21","default","0.49","Mesmo reels repostado 10 vezes. ""Vai que pega"".","#6B6B6B","low","-7","0bed67fa164e"
"KRV-078","ParaSempre","trash","11","Impulso","17","default","0.44","Status ""online"" 24/7. Vida social: inexistente.","#6B6B6B","low","-6","5a5f6dc730ef"
"KRV-079","TagNinguém","trash","12","Preguiça","19","default","0.46","Taga 20 pessoas. Nenhuma responde. Nunca.","#6B6B6B","low","-7","d3bf0c916cb9"
"KRV-080","PromFake","trash","19","Ganância","26","default","0.56","Prometeu produto em 2022. Sumiu. Voltou em 2025: ""Em breve"".","#6B6B6B","low","-7","50f29560214e"
"KRV-081","BioPoser","trash","13","Consumo","20","default","0.48","Bio com 10 títulos falsos. LinkedIn: desempregado.","#6B6B6B","low","-7","826f646264f9"
"KRV-082","MoodBoard","trash","16","Preguiça","23","default","0.52","Fez moodboard. Nunca executou projeto. ""Era só inspiração"".","#6B6B6B","low","-7","ab1a81b79dfe"
"KRV-083","CarouMort","trash","14","Influência","21","default","0.49","Carrossel de 10 slides. Views no último: 5.","#6B6B6B","low","-7","1fbe692fbb02"
"KRV-084","SaveVazio","trash","15","Preguiça","22","default","0.51","Salvou 500 posts. Revisitou: 0.","#6B6B6B","low","-7","08a2d31ebffc"
"KRV-085","TrapEngaje","trash","17","Impulso","24","default","0.54","Cai em isca de engajamento toda vez. Comentou: ""Nossa que chocante!"".","#6B6B6B","low","-7","a80ce29ad0ec"
"KRV-086","BuzzKiller","trash","12","Informação","19","default","0.47","Responde hype com negatividade. Amigos: unfollowed.","#6B6B6B","low","-7","694577e4167b"
"KRV-087","RaidBot","trash","11","Influência","18","default","0.45","Raid em canal vazio. 5 bots chegaram.","#6B6B6B","low","-7","e2707be42fe5"
"KRV-088","CollabGhost","trash","18","Ganância","25","default","0.55","Propôs collab. Não respondeu depois. Ghosting profissional.","#6B6B6B","low","-7","e93a5a10aeae"
"KRV-089","DuetFlop","trash","13","Preguiça","20","default","0.48","Fez dueto. Original: 10M views. Dele: 47.","#6B6B6B","low","-7","bd1480f82c46"
"KRV-090","ExpireConte","trash","15","Consumo","22","default","0.51","Conteúdo expira em 24h. Esforço: wasted.","#6B6B6B","low","-7","6bb151d3037a"
"KRV-091","QuoteVazio","trash","14","Preguiça","21","default","0.49","""Seja forte 💪"" em arte genérica. Inspirou: ninguém.","#6B6B6B","low","-7","d579decade1a"
"KRV-092","FormFake","trash","16","Ganância","23","default","0.52","Formulário de cadastro. Vendeu dados. Processo: iminente.","#6B6B6B","low","-7","01a5c5fdc3cc"
"KRV-093","VlogAband","trash","12","Preguiça","19","default","0.47","Vlog diário. Durou 3 dias. ""Vou voltar logo"".","#6B6B6B","low","-7","33a3f24fec1d"
"KRV-094","TrapClick","trash","17","Impulso","24","default","0.54","Clicou em phishing. Conta hackeada. ""Era promoção real"".","#6B6B6B","low","-7","620df3221dbc"
"KRV-095","LevelFraco","trash","11","Influência","18","default","0.45","Level 1 no jogo social. Sem XP. Stuck.","#6B6B6B","low","-7","80ade52c5fce"
"KRV-096","MemeOld","trash","13","Preguiça","20","default","0.48","Meme de 2015. ""Clássico"". Cringe confirmado.","#6B6B6B","low","-7","72cb8b16972f"
"KRV-097","BaitGuloso","trash","19","Impulso","26","default","0.56","Caiu em 10 baits. Ainda cai. ""Dessa vez é real"".","#6B6B6B","low","-7","3d590f862a68"
"KRV-098","ShopImpulso","trash","15","Consumo","22","default","0.51","Carrinho cheio. Finalizou 0. FOMO sem conversão.","#6B6B6B","low","-7","45f65586ac2b"
"KRV-099","ListaEsq","trash","14","Preguiça","21","default","0.49","Lista de ""assistir depois"". 500 itens. Assistiu: 0.","#6B6B6B","low","-7","f54ac27ef3a7"
"KRV-100","BotReply","trash","10","Impulso","16","default","0.43","Responde automaticamente. Conversa: impossível.","#6B6B6B","low","-6","62b7bd2fc526"
"KRV-101","GhostReader","trash","12","Preguiça","19","default","0.47","Lê mensagens sem responder. Ghosting master.","#6B6B6B","low","-7","78217c6cb14f"
"KRV-102","ViewerUm","trash","11","Influência","17","default","0.44","Único viewer da própria live: a mãe.","#6B6B6B","low","-6","ec2e73bf496d"
"KRV-103","TrendCorpse","trash","16","Preguiça","23","default","0.52","Trend morto ressuscitado. Não funciona mais.","#6B6B6B","low","-7","780222275def"
"KRV-104","SubPerdido","trash","13","Influência","20","default","0.48","Inscrito em 200 canais. Assiste: nenhum.","#6B6B6B","low","-7","2dbf2f51473a"
"KRV-105","BaitEterno","trash","18","Impulso","25","default","0.55","Cai em bait infinitamente. Aprende: nunca.","#6B6B6B","low","-7","923fd549a84f"
"KRV-106","CopyVerg","trash","14","Ganância","21","default","0.49","Copiou post viral. Esqueceu de trocar @ do original.","#6B6B6B","low","-7","ff89d4bc7e27"
"KRV-107","DicaNada","trash","15","Preguiça","22","default","0.51","Dica genérica. Valor: zero. ""Acredite em você"".","#6B6B6B","low","-7","06b8aff22834"
"KRV-108","PixOrfão","trash","17","Ganância","24","default","0.54","Pix na bio. Recebido: R$0,00 lifetime.","#6B6B6B","low","-7","4854f441a53f"
"KRV-109","PodVazio","trash","12","Preguiça","19","default","0.47","Podcast de 2h. Conteúdo real: 10min.","#6B6B6B","low","-7","73e9b155dbff"
"KRV-110","ViewBought","trash","19","Influência","26","default","0.56","Comprou views. Algoritmo puniu. Engajamento: morte.","#6B6B6B","low","-7","5a6661254693"
"KRV-111","RetweetSec","trash","11","Preguiça","18","default","0.45","Retweeta em segundos. Lê: nunca.","#6B6B6B","low","-7","5a0fa598d5f8"
"KRV-112","InfluFake","trash","16","Consumo","23","default","0.52","Se diz influencer. Influencia: 0 pessoas.","#6B6B6B","low","-7","72bc05cf21a2"
"KRV-113","ThreadNulo","trash","13","Preguiça","20","default","0.48","Thread prometida. Postou 1/10. Esqueceu.","#6B6B6B","low","-7","fa699c462a4a"
"KRV-114","MentorBluff","trash","18","Ganância","25","default","0.55","Mentor sem mentorado. Expertise: TikTok de dicas.","#6B6B6B","low","-7","235b060f5232"
"KRV-115","LoopMental","trash","14","Impulso","21","default","0.49","Preso em loop. Mesmo erro 50 vezes.","#6B6B6B","low","-7","9585e7284f47"
"KRV-116","BioPromessa","trash","15","Influência","22","default","0.51","Bio: ""Em breve novidades"". Eternamente.","#6B6B6B","low","-7","90d2fcf5f2c7"
"KRV-117","FollowTrap","trash","12","Impulso","19","default","0.47","Follow pra unfollow. Detectado. Blocked.","#6B6B6B","low","-7","597985bb5d39"
"KRV-118","ViraFail","trash","17","Preguiça","24","default","0.54","Tentou viralizar com desafio idiota. Resultado: ban.","#6B6B6B","low","-7","4013c1b814db"
"KRV-119","PlayEmpty","trash","10","Preguiça","16","default","0.43","Playlist vazia. Curadoria: inexistente.","#6B6B6B","low","-6","378c09339db0"
"KRV-120","HashDead","trash","13","Preguiça","20","default","0.48","Hashtag morta. Usado: só ele.","#6B6B6B","low","-7","10e54caa2c5d"
"KRV-121","StatusGhost","trash","16","Influência","23","default","0.52","Status invisível. Ninguém vê. Ninguém liga.","#6B6B6B","low","-7","067ebb24b1fc"
"KRV-122","DuoZero","trash","14","Impulso","21","default","0.49","Chamou pra duo. Ninguém aceitou. Solo forçado.","#6B6B6B","low","-7","006c6a748118"
"KRV-123","LiveMute","trash","11","Preguiça","18","default","0.45","Live no mute. Chat: ""Som?"" x100.","#6B6B6B","low","-7","138a896c5f06"
"KRV-124","BurnFalse","trash","15","Consumo","22","default","0.51","Finge burnout. Trabalha 3h/semana. Drama: full time.","#6B6B6B","low","-7","d1d726540d69"
"KRV-125","NichoEsqc","trash","12","Influência","19","default","0.47","Nicho abandonado. 0 relevância. Fantasma do algoritmo.","#6B6B6B","low","-7","4e2d1f2d9d2e"
"KRV-126","FeedVazio","trash","14","Consumo","21","default","0.49","Timeline sem alma. Algoritmo confuso. Serve: anúncios.","#6B6B6B","low","-7","92e9bca50968"
"KRV-127","NotifGhost","trash","12","Preguiça","19","default","0.47","Notificação fantasma. Clica. Nada aparece.","#6B6B6B","low","-7","2dab7c732066"
"KRV-128","BotãoLike","trash","10","Impulso","16","default","0.43","Botão gasto de tanto usar. Critério: nenhum.","#6B6B6B","low","-6","744fc6ba523c"
"KRV-129","DMSeco","trash","13","Influência","20","default","0.48","DM sem resposta. Visto. Ignorado. Ghosting garantido.","#6B6B6B","low","-7","24e326c9b0bf"
"KRV-130","LinkQueb","trash","15","Informação","22","default","0.51","404. Promessa não cumprida. Hype desperdiçado.","#6B6B6B","low","-7","d9a7192295d8"
"KRV-131","HashtagMort","trash","11","Preguiça","18","default","0.45","Hashtag sem uso. Cemitério digital.","#6B6B6B","low","-7","476bb04a86b7"
"KRV-132","TemplateGen","trash","14","Consumo","21","default","0.49","Template Canva 1000x usado. Originalidade: 0.","#6B6B6B","low","-7","024427f69171"
"KRV-133","FiltroFake","trash","16","Consumo","23","default","0.52","Filtro que mente. ""Realidade aumentada"" do autoengano.","#6B6B6B","low","-7","63850cecb316"
"KRV-134","PlaylistBot","trash","12","Preguiça","19","default","0.47","Playlist gerada por IA. Soul: inexistente.","#6B6B6B","low","-7","35aab73f97e5"
"KRV-135","PixPromessa","trash","17","Ganância","24","default","0.54","QR code eterno. Nunca recebe. Esperança: morta.","#6B6B6B","low","-7","e15b8972c0b6"
"KRV-136","StoryExp","trash","13","Preguiça","20","default","0.48","Story de 24h esquecido. View: 3. Impacto: nenhum.","#6B6B6B","low","-7","9e2590ea47f3"
"KRV-137","PinOrphan","trash","11","Preguiça","18","default","0.45","Pin sem board. Perdido no vazio do Pinterest.","#6B6B6B","low","-7","b834360605a3"
"KRV-138","TagInútil","trash","14","Impulso","21","default","0.49","Tag que ninguém clica. SEO falhou.","#6B6B6B","low","-7","fa770b30db25"
"KRV-139","IconeCópia","trash","10","Consumo","16","default","0.43","Ícone genérico. Identidade: plagiada.","#6B6B6B","low","-6","7f26e7cbeec3"
"KRV-140","ViewCount0","trash","15","Influência","22","default","0.51","Contador travado em 0. Algoritmo esqueceu de você.","#6B6B6B","low","-7","374406b836d1"
"KRV-141","CacheGhost","trash","12","Preguiça","19","default","0.47","Cache corrompido. Dados: perdidos. Backup: nenhum.","#6B6B6B","low","-7","acdf174a56a2"
"KRV-142","ThreadUnfin","trash","16","Preguiça","23","default","0.52","Thread inacabada. ""Continua..."" Nunca continuou.","#6B6B6B","low","-7","e1f42ff35cf1"
"KRV-143","CarrosselVz","trash","13","Preguiça","20","default","0.48","Carrossel sem final. Swipe inútil.","#6B6B6B","low","-7","a640614a45a5"
"KRV-144","BannerGen","trash","14","Consumo","21","default","0.49","Banner stock. Marca: esquecível.","#6B6B6B","low","-7","d11e0affe43a"
"KRV-145","LogoFail","trash","11","Consumo","18","default","0.45","Logo feia. Feita no Paint. ""É provisório"" há 3 anos.","#6B6B6B","low","-7","bab174c0b104"
"KRV-146","AudioRuim","trash","17","Impulso","24","default","0.54","Áudio que dói. Qualidade: celular 2010.","#6B6B6B","low","-7","ffed422f8d0d"
"KRV-147","CropErrado","trash","12","Preguiça","19","default","0.47","Crop que cortou a parte importante. Repost: fail.","#6B6B6B","low","-7","3d7115158a8d"
"KRV-148","FonteCringe","trash","15","Consumo","22","default","0.51","Comic Sans não irônica. Design: morreu.","#6B6B6B","low","-7","cf72c7e2a99a"
"KRV-149","MemeRobado","trash","13","Preguiça","20","default","0.48","Meme sem créditos. Marca d'água visível. Vergonha.","#6B6B6B","low","-7","a745aceed380"
"KRV-150","QRMorto","trash","14","Informação","21","default","0.49","QR code expirado. Scan inútil.","#6B6B6B","low","-7","931cb390f10d"
"KRV-151","GifPesado","trash","10","Impulso","16","default","0.43","GIF de 50MB. Carrega: nunca.","#6B6B6B","low","-6","c98f32b99ffe"
"KRV-152","EmojiFlood","trash","11","Impulso","18","default","0.45","50 emojis. Mensagem ilegível. Propósito: ???","#6B6B6B","low","-7","ce2c929e418a"
"KRV-153","ThumbFalso","trash","16","Informação","23","default","0.52","Thumbnail clickbait. Vídeo não entrega. Decepção.","#6B6B6B","low","-7","44db5001896e"
"KRV-154","DescVazia","trash","12","Preguiça","19","default","0.47","Descrição: ""..."". Contexto: perdido para sempre.","#6B6B6B","low","-7","481c2dc4432b"
"KRV-155","MetaErrada","trash","15","Informação","22","default","0.51","Meta tag errada. SEO: sabotado pelo próprio criador.","#6B6B6B","low","-7","6ec0600a9459"
"KRV-156","CancelFraco","trash","17","Impulso","24","default","0.54","Tentativa de cancelamento. 10 pessoas. Esquecido em 2h.","#6B6B6B","low","-7","73ace5a5245d"
"KRV-157","TrendMorto","trash","14","Preguiça","21","default","0.49","Trend expirado. Ainda tentando usar. Cringe confirmado.","#6B6B6B","low","-7","9aaf28c687aa"
"KRV-158","HypeGone","trash","15","Influência","22","default","0.51","Hype evaporou. Ninguém lembra. Era pra ser grande.","#6B6B6B","low","-7","1ca991af6c8e"
"KRV-159","ViralFail","trash","13","Impulso","20","default","0.48","Tentou viralizar. 50 views. Família fingiu que viu.","#6B6B6B","low","-7","5fb3f0c2caec"
"KRV-160","BugIgnorado","trash","12","Informação","19","default","0.47","Bug reportado. Ignored. Closed: ""Working as intended"".","#6B6B6B","low","-7","d4d4c704a12a"
"KRV-161","BoicoFrac","trash","16","Impulso","23","default","0.52","Boicote com 12 participantes. Empresa nem notou.","#6B6B6B","low","-7","cb534d9273bb"
"KRV-162","MemeQuente","trash","18","Informação","25","default","0.55","Meme de 48h. Expirado. Contextless agora.","#6B6B6B","low","-7","4ca813017901"
"KRV-163","HashChal","trash","11","Preguiça","18","default","0.45","Challenge sem participantes. Só o criador tentou.","#6B6B6B","low","-7","cd05a96e17cb"
"KRV-164","SpaceVazio","trash","14","Influência","21","default","0.49","Space criado. 2 ouvintes. Ambos: AFK.","#6B6B6B","low","-7","e7104820e686"
"KRV-165","RaidFail","trash","10","Impulso","16","default","0.43","Raid sem viewers. Chegaram: 0. Constrangimento.","#6B6B6B","low","-6","7e1b3af141b6"
"KRV-166","ColabGhost","trash","15","Ganância","22","default","0.51","Colaboração prometida. Ghosting mútuo. Nada saiu.","#6B6B6B","low","-7","f8fd34015ccb"
"KRV-167","EventoCance","trash","17","Impulso","24","default","0.54","Evento online cancelado. 0 ingressos vendidos.","#6B6B6B","low","-7","a85e41919fbf"
"KRV-168","CrowdNone","trash","13","Ganância","20","default","0.48","Crowdfunding: R$50 de meta. Arrecadado: R$0.","#6B6B6B","low","-7","f057c48f086c"
"KRV-169","SorteioFake","trash","19","Ganância","26","default","0.56","Sorteio prometido. Ganhador nunca anunciado. Fake.","#6B6B6B","low","-7","4853d431dbc0"
"KRV-170","LiveDeserta","trash","12","Influência","19","default","0.47","Live de lançamento. 1 view: o próprio.","#6B6B6B","low","-7","0055b576fc48"
"KRV-171","PromoCrash","trash","16","Consumo","23","default","0.52","Promoção quebrou site. Vendeu: nada. Caiu antes.","#6B6B6B","low","-7","0c93b03d3304"
"KRV-172","UpdateBug","trash","14","Informação","21","default","0.49","Update que quebrou tudo. Rollback: vergonhoso.","#6B6B6B","low","-7","a8d7c3f656d4"
