effect,contrast,rarity_value,rarity_icon,hash,name,trend,archetype,currency,value,description,frame,art
"low","-7","16","trash","b8d4605533e4","GrindGhost","23","Ganância","BRL","0.53","Hustla 24/7 mas não ganha nada. ""Processo"" sem resultado.","default","pending"
"low","-7","14","trash","9555e6b117a2","ReelCringe","21","Influência","BRL","0.49","Transição mal editada. Som atrasado. Posted anyway.","default","pending"
"low","-6","11","trash","a71ae71540c9","BioClichê","17","Consumo","BRL","0.44","""CEO da própria vida 💪","Viagem é vida ✈️","pending"
"low","-7","12","trash","361e705ae9c1","MemeLixo","19","Preguiça","BRL","0.47","Reposta meme de 2019. Sem contexto. 2 comentários: ""???"".","default","pending"
"low","-7","15","trash","2838a074a519","HypeZero","22","Impulso","BRL","0.51","Anunciou projeto. Sumiu. Voltou 1 ano depois com ""coming soon"".","default","pending"
"low","-7","13","trash","8ec8008557f8","SpamLord","20","Ganância","BRL","0.48","Envia DM com link de afiliado. Bloqueado 500 vezes.","default","pending"
"low","-7","17","trash","cd4c79234cbb","CursoFail","24","Ganância","BRL","0.54","Vende mentoria sem resultado. ""Mas os outros conseguiram"".","default","pending"
"low","-7","14","trash","81798e4d05aa","TikFlopado","21","Influência","BRL","0.49","50 vídeos postados. Melhor resultado: 73 views.","default","pending"
"low","-7","18","trash","f6f314a7173d","NFTOrfã","25","Consumo","BRL","0.55","Comprou JPEG por 2 ETH. Valor atual: $12.","default","pending"
"low","-6","12","trash","492b3c605280","ThreadSeco","18","Preguiça","BRL","0.46","Thread de 15 tweets. 1 like. Do próprio perfil.","default","pending"
"low","-6","11","trash","dd0d65b79709","PinEterno","17","Impulso","BRL","0.44","Pinou tweet de 2 anos. Ninguém leu.","default","pending"
"low","-7","16","trash","df2963126703","PlayViciado","23","Preguiça","BRL","0.52","8h/dia de jogo. 0h de produtividade. ""Mas sou streamer"".","default","pending"
"low","-7","19","trash","7198d20edcba","GigEscrav","26","Ganância","BRL","0.56","Entregador 12h/dia. Ganha menos que salário mínimo. ""Liberdade"".","default","pending"
"low","-7","13","trash","f4ede4d900eb","MetaGado","20","Influência","BRL","0.48","Segue todo trend. Zero personalidade. Clone algorítmico.","default","pending"
"low","-6","10","trash","993c927bf37a","ResenhaBot","16","Preguiça","BRL","0.42","Comenta ""Top!"" em 200 posts. Todos geridos por bot.","default","pending"
"low","-7","15","trash","c11c70ae1ff7","FakeGuru","22","Ganância","BRL","0.51","Vendeu curso. Conteúdo: print de artigo do Google.","default","pending"
"low","-7","14","trash","144d25b45be0","DoomScroll","21","Preguiça","BRL","0.49","4h diárias no feed. Absorveu: nada. Energia: drenada.","default","pending"
"low","-7","12","trash","f53cbbf27aa2","BuzzVazio","19","Informação","BRL","0.47","Clickbait master. Título: 🔥. Conteúdo: 404.","default","pending"
"low","-7","16","trash","c07e44f1d4a4","ImpulsoShop","23","Consumo","BRL","0.53","Comprou 50 itens online. Usou 2. Resto: doação.","default","pending"
"low","-7","18","trash","47a046542d07","RageBait","25","Impulso","BRL","0.55","Posta coisa polêmica só pra gerar rage. Comenta os ódios: lucro.","default","pending"
"low","-6","11","trash","a7b779cd2e49","LurkShadow","17","Preguiça","BRL","0.44","3 anos sem postar. Só stalkeando. Perfil privado.","default","pending"
"low","-7","13","trash","d1db020f63d0","BioLink","20","Ganância","BRL","0.48","Link na bio com 30 redirecionamentos. Tráfego: 0.","default","pending"
"low","-7","15","trash","95f3ced098d0","ViewFake","22","Influência","BRL","0.51","Comprou views. Algoritmo detectou. Shadowbanned.","default","pending"
"low","-7","14","trash","f2d05f74ddd8","BolaEco","21","Informação","BRL","0.49","Vive em bolha ideológica. Só segue quem concorda.","default","pending"
"low","-7","17","trash","6fe36fdeab6a","BurnZumbi","24","Preguiça","BRL","0.54","Burnout fingido. Trabalha 2h/dia. Reclama 6h.","default","pending"
"low","-7","12","trash","0c6063e29c9c","ShillLost","19","Ganância","BRL","0.47","Shillou 20 projetos. Todos ruggados. Próximo: ""confia"".","default","pending"
"low","-7","16","trash","a0cb195a6f76","AlfaPretnd","23","Influência","BRL","0.52","Se diz alfa. Mora com os pais. Nunca teve relacionamento.","default","pending"
"low","-7","18","trash","db30e7135907","HustleFake","25","Ganância","BRL","0.55","Posta rotina produtiva. Real: Netflix 10h.","default","pending"
"low","-7","13","trash","374a7176599b","TrapSocial","20","Impulso","BRL","0.48","Cai em bait toda semana. Argumenta com bot.","default","pending"
"low","-7","15","trash","941e68acc76e","EngajeFome","22","Influência","BRL","0.51","""Marque 3 amigos!"" Ninguém marca.","default","pending"
"low","-7","19","trash","b08f55f63ac1","CoachBluff","26","Ganância","BRL","0.56","Vendeu 2 mentorias. Cliente ghostou. ""Ele não quis sucesso"".","default","pending"
"low","-7","11","trash","7196f0961518","HashtagSpam","18","Preguiça","BRL","0.45","30 hashtags por post. Reach: orgânico 0.","default","pending"
"low","-7","14","trash","61b1f8bb2436","CapaFalsa","21","Consumo","BRL","0.49","Capa do Kindle com stock photo. Livro: ChatGPT não revisado.","default","pending"
"low","-7","12","trash","9ff7334af416","RaidNulo","19","Impulso","BRL","0.47","Fez raid. 2 pessoas assistiram. Ambas: bots.","default","pending"
"low","-6","10","trash","d8ea232ca647","RetweetBot","16","Preguiça","BRL","0.43","RT sem ler. 100 posts/dia. Opinião: nenhuma.","default","pending"
"low","-7","17","trash","b4306b9ce1a9","SigmaMeme","24","Influência","BRL","0.54","Usa ""sigma grindset"" sem ironia. Trabalha: 0h.","default","pending"
"low","-7","15","trash","a059881a850d","WebinárVão","22","Ganância","BRL","0.51","Webinar grátis. Pitch de venda disfarçado. Inscritos: 3.","default","pending"
"low","-7","13","trash","6e18e8ce372f","ExpoPretens","20","Consumo","BRL","0.48","Comprou ingresso pra evento. Foi pra foto. Networking: 0.","default","pending"
"low","-7","14","trash","29e4a617121d","ViraLixo","21","Informação","BRL","0.49","Tentou viralizar 50 vezes. Resultado: nada.","default","pending"
"low","-6","11","trash","e0796c9b1a27","BotFollow","17","Influência","BRL","0.44","Segue 10k. Seguido por 50. Taxa: robô confirmado.","default","pending"
"low","-7","12","trash","7cfbe6b0b041","CopyPasteGM","19","Preguiça","BRL","0.46","""GM"" todo dia. Interação real: zero.","default","pending"
"low","-7","16","trash","ba173671ad67","AudioFail","23","Impulso","BRL","0.52","Gravou áudio de 5min sem editar. Qualidade: celular no bolso.","default","pending"
"low","-7","18","trash","81f7804cdc2d","MetaZumbi","25","Consumo","BRL","0.55","Comprou headset VR. Usou 1 vez. ""É o futuro"".","default","pending"
"low","-7","13","trash","c62619631bc2","PlugDrop","20","Ganância","BRL","0.48","Dropou link em conversa aleatória. Ban instantâneo.","default","pending"
"low","-7","15","trash","64c0316f4479","SubBeg","22","Influência","BRL","0.51","""Inscreva-se!"" 100 vezes. Ganhou: -5 subs (unsub).","default","pending"
"low","-7","19","trash","37d87553e8a6","GigaFake","26","Ganância","BRL","0.56","Fingiu ser rico. Print de saldo falso. Exposed em 24h.","default","pending"
"low","-7","14","trash","901b7bf06bf5","CarreiraVap","21","Preguiça","BRL","0.49","Mudou de carreira 5 vezes em 1 ano. Ainda desempregado.","default","pending"
"low","-7","17","trash","81de8db6d4d4","CancelFodas","24","Impulso","BRL","0.54","Tentou cancelar alguém. Tinha 12 seguidores.","default","pending"
"low","-7","12","trash","1a564601f022","LiveDesert","19","Influência","BRL","0.47","Live com 1 viewer: ele mesmo (segunda tela).","default","pending"
"low","-7","16","trash","730153ad96c7","CloutChase","23","Ganância","BRL","0.53","Faz qualquer coisa por atenção. Resultado: cringe documentado.","default","pending"
"low","-7","11","trash","2d27253c06f2","TempBobo","18","Preguiça","BRL","0.45","Usa template de post. Esquece de trocar nome da marca.","default","pending"
"low","-7","18","trash","979a90a559f8","TradeNoob","25","Ganância","BRL","0.55","Day trade sem estudo. Perdeu tudo. ""Mercado tá manipulado"".","default","pending"
"low","-7","13","trash","c5835410f6eb","SelfEterno","20","Consumo","BRL","0.48","300 selfies. 1 post. Nenhum like do crush.","default","pending"
"low","-7","15","trash","9f8f72e2d6fb","CópiaNota","22","Informação","BRL","0.51","Copia nota de rodapé. Acha que ninguém vai perceber.","default","pending"
"low","-7","14","trash","0fc4531de37f","DicaSeca","21","Preguiça","BRL","0.49","""Dica: seja você mesmo 🙏"". Engajamento: silêncio.","default","pending"
"low","-7","12","trash","3fa9e0f88604","SpaceFraco","19","Impulso","BRL","0.47","Criou Space. 3 participantes. 2 saíram no meio.","default","pending"
"low","-7","16","trash","28c78e86fa7c","PropSurda","23","Ganância","BRL","0.52","Propagando produto que nunca usou. Credibilidade: -100.","default","pending"
"low","-6","10","trash","33f7db141216","PinOrfã","16","Preguiça","BRL","0.43","Board no Pinterest com 1 pin. Descrição: ""Inspiração"".","default","pending"
"low","-7","17","trash","4bc57a3c783c","AlgoIgnor","24","Influência","BRL","0.54","Algoritmo deu ghosting. Shadow ban permanente.","default","pending"
"low","-7","13","trash","730037526a79","PlaySolo","20","Preguiça","BRL","0.48","Joga solo. Sem party. Sem amigos. ""Sou lone wolf"".","default","pending"
"low","-7","15","trash","1290c04f7f44","ProtFollow","22","Influência","BRL","0.51","Protege tweet. 50 seguidores. Ninguém pede pra seguir.","default","pending"
"low","-7","18","trash","8e36c828be91","AfiliZero","25","Ganância","BRL","0.55","Link de afiliado postado 100 vezes. Venda: nenhuma.","default","pending"
"low","-7","14","trash","0bed67fa164e","ReelsLoop","21","Preguiça","BRL","0.49","Mesmo reels repostado 10 vezes. ""Vai que pega"".","default","pending"
"low","-6","11","trash","5a5f6dc730ef","ParaSempre","17","Impulso","BRL","0.44","Status ""online"" 24/7. Vida social: inexistente.","default","pending"
"low","-7","12","trash","d3bf0c916cb9","TagNinguém","19","Preguiça","BRL","0.46","Taga 20 pessoas. Nenhuma responde. Nunca.","default","pending"
"low","-7","19","trash","50f29560214e","PromFake","26","Ganância","BRL","0.56","Prometeu produto em 2022. Sumiu. Voltou em 2025: ""Em breve"".","default","pending"
"low","-7","13","trash","826f646264f9","BioPoser","20","Consumo","BRL","0.48","Bio com 10 títulos falsos. LinkedIn: desempregado.","default","pending"
"low","-7","16","trash","ab1a81b79dfe","MoodBoard","23","Preguiça","BRL","0.52","Fez moodboard. Nunca executou projeto. ""Era só inspiração"".","default","pending"
"low","-7","14","trash","1fbe692fbb02","CarouMort","21","Influência","BRL","0.49","Carrossel de 10 slides. Views no último: 5.","default","pending"
"low","-7","15","trash","08a2d31ebffc","SaveVazio","22","Preguiça","BRL","0.51","Salvou 500 posts. Revisitou: 0.","default","pending"
"low","-7","17","trash","a80ce29ad0ec","TrapEngaje","24","Impulso","BRL","0.54","Cai em isca de engajamento toda vez. Comentou: ""Nossa que chocante!"".","default","pending"
"low","-7","12","trash","694577e4167b","BuzzKiller","19","Informação","BRL","0.47","Responde hype com negatividade. Amigos: unfollowed.","default","pending"
"low","-7","11","trash","e2707be42fe5","RaidBot","18","Influência","BRL","0.45","Raid em canal vazio. 5 bots chegaram.","default","pending"
"low","-7","18","trash","e93a5a10aeae","CollabGhost","25","Ganância","BRL","0.55","Propôs collab. Não respondeu depois. Ghosting profissional.","default","pending"
"low","-7","13","trash","bd1480f82c46","DuetFlop","20","Preguiça","BRL","0.48","Fez dueto. Original: 10M views. Dele: 47.","default","pending"
"low","-7","15","trash","6bb151d3037a","ExpireConte","22","Consumo","BRL","0.51","Conteúdo expira em 24h. Esforço: wasted.","default","pending"
"low","-7","14","trash","d579decade1a","QuoteVazio","21","Preguiça","BRL","0.49","""Seja forte 💪"" em arte genérica. Inspirou: ninguém.","default","pending"
"low","-7","16","trash","01a5c5fdc3cc","FormFake","23","Ganância","BRL","0.52","Formulário de cadastro. Vendeu dados. Processo: iminente.","default","pending"
"low","-7","12","trash","33a3f24fec1d","VlogAband","19","Preguiça","BRL","0.47","Vlog diário. Durou 3 dias. ""Vou voltar logo"".","default","pending"
"low","-7","17","trash","620df3221dbc","TrapClick","24","Impulso","BRL","0.54","Clicou em phishing. Conta hackeada. ""Era promoção real"".","default","pending"
"low","-7","11","trash","80ade52c5fce","LevelFraco","18","Influência","BRL","0.45","Level 1 no jogo social. Sem XP. Stuck.","default","pending"
"low","-7","13","trash","72cb8b16972f","MemeOld","20","Preguiça","BRL","0.48","Meme de 2015. ""Clássico"". Cringe confirmado.","default","pending"
"low","-7","19","trash","3d590f862a68","BaitGuloso","26","Impulso","BRL","0.56","Caiu em 10 baits. Ainda cai. ""Dessa vez é real"".","default","pending"
"low","-7","15","trash","45f65586ac2b","ShopImpulso","22","Consumo","BRL","0.51","Carrinho cheio. Finalizou 0. FOMO sem conversão.","default","pending"
"low","-7","14","trash","f54ac27ef3a7","ListaEsq","21","Preguiça","BRL","0.49","Lista de ""assistir depois"". 500 itens. Assistiu: 0.","default","pending"
"low","-6","10","trash","62b7bd2fc526","BotReply","16","Impulso","BRL","0.43","Responde automaticamente. Conversa: impossível.","default","pending"
"low","-7","12","trash","78217c6cb14f","GhostReader","19","Preguiça","BRL","0.47","Lê mensagens sem responder. Ghosting master.","default","pending"
"low","-6","11","trash","ec2e73bf496d","ViewerUm","17","Influência","BRL","0.44","Único viewer da própria live: a mãe.","default","pending"
"low","-7","16","trash","780222275def","TrendCorpse","23","Preguiça","BRL","0.52","Trend morto ressuscitado. Não funciona mais.","default","pending"
"low","-7","13","trash","2dbf2f51473a","SubPerdido","20","Influência","BRL","0.48","Inscrito em 200 canais. Assiste: nenhum.","default","pending"
"low","-7","18","trash","923fd549a84f","BaitEterno","25","Impulso","BRL","0.55","Cai em bait infinitamente. Aprende: nunca.","default","pending"
"low","-7","14","trash","ff89d4bc7e27","CopyVerg","21","Ganância","BRL","0.49","Copiou post viral. Esqueceu de trocar @ do original.","default","pending"
"low","-7","15","trash","06b8aff22834","DicaNada","22","Preguiça","BRL","0.51","Dica genérica. Valor: zero. ""Acredite em você"".","default","pending"
"low","-7","17","trash","4854f441a53f","PixOrfão","24","Ganância","BRL","0.54","Pix na bio. Recebido: R$0,00 lifetime.","default","pending"
"low","-7","12","trash","73e9b155dbff","PodVazio","19","Preguiça","BRL","0.47","Podcast de 2h. Conteúdo real: 10min.","default","pending"
"low","-7","19","trash","5a6661254693","ViewBought","26","Influência","BRL","0.56","Comprou views. Algoritmo puniu. Engajamento: morte.","default","pending"
"low","-7","11","trash","5a0fa598d5f8","RetweetSec","18","Preguiça","BRL","0.45","Retweeta em segundos. Lê: nunca.","default","pending"
"low","-7","16","trash","72bc05cf21a2","InfluFake","23","Consumo","BRL","0.52","Se diz influencer. Influencia: 0 pessoas.","default","pending"
"low","-7","13","trash","fa699c462a4a","ThreadNulo","20","Preguiça","BRL","0.48","Thread prometida. Postou 1/10. Esqueceu.","default","pending"
"low","-7","18","trash","235b060f5232","MentorBluff","25","Ganância","BRL","0.55","Mentor sem mentorado. Expertise: TikTok de dicas.","default","pending"
"low","-7","14","trash","9585e7284f47","LoopMental","21","Impulso","BRL","0.49","Preso em loop. Mesmo erro 50 vezes.","default","pending"
"low","-7","15","trash","90d2fcf5f2c7","BioPromessa","22","Influência","BRL","0.51","Bio: ""Em breve novidades"". Eternamente.","default","pending"
"low","-7","12","trash","597985bb5d39","FollowTrap","19","Impulso","BRL","0.47","Follow pra unfollow. Detectado. Blocked.","default","pending"
"low","-7","17","trash","4013c1b814db","ViraFail","24","Preguiça","BRL","0.54","Tentou viralizar com desafio idiota. Resultado: ban.","default","pending"
"low","-6","10","trash","378c09339db0","PlayEmpty","16","Preguiça","BRL","0.43","Playlist vazia. Curadoria: inexistente.","default","pending"
"low","-7","13","trash","10e54caa2c5d","HashDead","20","Preguiça","BRL","0.48","Hashtag morta. Usado: só ele.","default","pending"
"low","-7","16","trash","067ebb24b1fc","StatusGhost","23","Influência","BRL","0.52","Status invisível. Ninguém vê. Ninguém liga.","default","pending"
"low","-7","14","trash","006c6a748118","DuoZero","21","Impulso","BRL","0.49","Chamou pra duo. Ninguém aceitou. Solo forçado.","default","pending"
"low","-7","11","trash","138a896c5f06","LiveMute","18","Preguiça","BRL","0.45","Live no mute. Chat: ""Som?"" x100.","default","pending"
"low","-7","15","trash","d1d726540d69","BurnFalse","22","Consumo","BRL","0.51","Finge burnout. Trabalha 3h/semana. Drama: full time.","default","pending"
"low","-7","12","trash","4e2d1f2d9d2e","NichoEsqc","19","Influência","BRL","0.47","Nicho abandonado. 0 relevância. Fantasma do algoritmo.","default","pending"
"low","-7","14","trash","92e9bca50968","FeedVazio","21","Consumo","BRL","0.49","Timeline sem alma. Algoritmo confuso. Serve: anúncios.","default","pending"
"low","-7","12","trash","2dab7c732066","NotifGhost","19","Preguiça","BRL","0.47","Notificação fantasma. Clica. Nada aparece.","default","pending"
"low","-6","10","trash","744fc6ba523c","BotãoLike","16","Impulso","BRL","0.43","Botão gasto de tanto usar. Critério: nenhum.","default","pending"
"low","-7","13","trash","24e326c9b0bf","DMSeco","20","Influência","BRL","0.48","DM sem resposta. Visto. Ignorado. Ghosting garantido.","default","pending"
"low","-7","15","trash","d9a7192295d8","LinkQueb","22","Informação","BRL","0.51","404. Promessa não cumprida. Hype desperdiçado.","default","pending"
"low","-7","11","trash","476bb04a86b7","HashtagMort","18","Preguiça","BRL","0.45","Hashtag sem uso. Cemitério digital.","default","pending"
"low","-7","14","trash","024427f69171","TemplateGen","21","Consumo","BRL","0.49","Template Canva 1000x usado. Originalidade: 0.","default","pending"
"low","-7","16","trash","63850cecb316","FiltroFake","23","Consumo","BRL","0.52","Filtro que mente. ""Realidade aumentada"" do autoengano.","default","pending"
"low","-7","12","trash","35aab73f97e5","PlaylistBot","19","Preguiça","BRL","0.47","Playlist gerada por IA. Soul: inexistente.","default","pending"
"low","-7","17","trash","e15b8972c0b6","PixPromessa","24","Ganância","BRL","0.54","QR code eterno. Nunca recebe. Esperança: morta.","default","pending"
"low","-7","13","trash","9e2590ea47f3","StoryExp","20","Preguiça","BRL","0.48","Story de 24h esquecido. View: 3. Impacto: nenhum.","default","pending"
"low","-7","11","trash","b834360605a3","PinOrphan","18","Preguiça","BRL","0.45","Pin sem board. Perdido no vazio do Pinterest.","default","pending"
"low","-7","14","trash","fa770b30db25","TagInútil","21","Impulso","BRL","0.49","Tag que ninguém clica. SEO falhou.","default","pending"
"low","-6","10","trash","7f26e7cbeec3","IconeCópia","16","Consumo","BRL","0.43","Ícone genérico. Identidade: plagiada.","default","pending"
"low","-7","15","trash","374406b836d1","ViewCount0","22","Influência","BRL","0.51","Contador travado em 0. Algoritmo esqueceu de você.","default","pending"
"low","-7","12","trash","acdf174a56a2","CacheGhost","19","Preguiça","BRL","0.47","Cache corrompido. Dados: perdidos. Backup: nenhum.","default","pending"
"low","-7","16","trash","e1f42ff35cf1","ThreadUnfin","23","Preguiça","BRL","0.52","Thread inacabada. ""Continua..."" Nunca continuou.","default","pending"
"low","-7","13","trash","a640614a45a5","CarrosselVz","20","Preguiça","BRL","0.48","Carrossel sem final. Swipe inútil.","default","pending"
"low","-7","14","trash","d11e0affe43a","BannerGen","21","Consumo","BRL","0.49","Banner stock. Marca: esquecível.","default","pending"
"low","-7","11","trash","bab174c0b104","LogoFail","18","Consumo","BRL","0.45","Logo feia. Feita no Paint. ""É provisório"" há 3 anos.","default","pending"
"low","-7","17","trash","ffed422f8d0d","AudioRuim","24","Impulso","BRL","0.54","Áudio que dói. Qualidade: celular 2010.","default","pending"
"low","-7","12","trash","3d7115158a8d","CropErrado","19","Preguiça","BRL","0.47","Crop que cortou a parte importante. Repost: fail.","default","pending"
"low","-7","15","trash","cf72c7e2a99a","FonteCringe","22","Consumo","BRL","0.51","Comic Sans não irônica. Design: morreu.","default","pending"
"low","-7","13","trash","a745aceed380","MemeRobado","20","Preguiça","BRL","0.48","Meme sem créditos. Marca d'água visível. Vergonha.","default","pending"
"low","-7","14","trash","931cb390f10d","QRMorto","21","Informação","BRL","0.49","QR code expirado. Scan inútil.","default","pending"
"low","-6","10","trash","c98f32b99ffe","GifPesado","16","Impulso","BRL","0.43","GIF de 50MB. Carrega: nunca.","default","pending"
"low","-7","11","trash","ce2c929e418a","EmojiFlood","18","Impulso","BRL","0.45","50 emojis. Mensagem ilegível. Propósito: ???","default","pending"
"low","-7","16","trash","44db5001896e","ThumbFalso","23","Informação","BRL","0.52","Thumbnail clickbait. Vídeo não entrega. Decepção.","default","pending"
"low","-7","12","trash","481c2dc4432b","DescVazia","19","Preguiça","BRL","0.47","Descrição: ""..."". Contexto: perdido para sempre.","default","pending"
"low","-7","15","trash","6ec0600a9459","MetaErrada","22","Informação","BRL","0.51","Meta tag errada. SEO: sabotado pelo próprio criador.","default","pending"
"low","-7","17","trash","73ace5a5245d","CancelFraco","24","Impulso","BRL","0.54","Tentativa de cancelamento. 10 pessoas. Esquecido em 2h.","default","pending"
"low","-7","14","trash","9aaf28c687aa","TrendMorto","21","Preguiça","BRL","0.49","Trend expirado. Ainda tentando usar. Cringe confirmado.","default","pending"
"low","-7","15","trash","1ca991af6c8e","HypeGone","22","Influência","BRL","0.51","Hype evaporou. Ninguém lembra. Era pra ser grande.","default","pending"
"low","-7","13","trash","5fb3f0c2caec","ViralFail","20","Impulso","BRL","0.48","Tentou viralizar. 50 views. Família fingiu que viu.","default","pending"
"low","-7","12","trash","d4d4c704a12a","BugIgnorado","19","Informação","BRL","0.47","Bug reportado. Ignored. Closed: ""Working as intended"".","default","pending"
"low","-7","16","trash","cb534d9273bb","BoicoFrac","23","Impulso","BRL","0.52","Boicote com 12 participantes. Empresa nem notou.","default","pending"
"low","-7","18","trash","4ca813017901","MemeQuente","25","Informação","BRL","0.55","Meme de 48h. Expirado. Contextless agora.","default","pending"
"low","-7","11","trash","cd05a96e17cb","HashChal","18","Preguiça","BRL","0.45","Challenge sem participantes. Só o criador tentou.","default","pending"
"low","-7","14","trash","e7104820e686","SpaceVazio","21","Influência","BRL","0.49","Space criado. 2 ouvintes. Ambos: AFK.","default","pending"
"low","-6","10","trash","7e1b3af141b6","RaidFail","16","Impulso","BRL","0.43","Raid sem viewers. Chegaram: 0. Constrangimento.","default","pending"
"low","-7","15","trash","f8fd34015ccb","ColabGhost","22","Ganância","BRL","0.51","Colaboração prometida. Ghosting mútuo. Nada saiu.","default","pending"
"low","-7","17","trash","a85e41919fbf","EventoCance","24","Impulso","BRL","0.54","Evento online cancelado. 0 ingressos vendidos.","default","pending"
"low","-7","13","trash","f057c48f086c","CrowdNone","20","Ganância","BRL","0.48","Crowdfunding: R$50 de meta. Arrecadado: R$0.","default","pending"
"low","-7","19","trash","4853d431dbc0","SorteioFake","26","Ganância","BRL","0.56","Sorteio prometido. Ganhador nunca anunciado. Fake.","default","pending"
"low","-7","12","trash","0055b576fc48","LiveDeserta","19","Influência","BRL","0.47","Live de lançamento. 1 view: o próprio.","default","pending"
"low","-7","16","trash","0c93b03d3304","PromoCrash","23","Consumo","BRL","0.52","Promoção quebrou site. Vendeu: nada. Caiu antes.","default","pending"
"low","-7","14","trash","a8d7c3f656d4","UpdateBug","21","Informação","BRL","0.49","Update que quebrou tudo. Rollback: vergonhoso.","default","pending"
"low","-7","11","trash","40b4db940e4b","PatchFail","18","Informação","BRL","0.45","Patch que criou mais bugs. Hotfix: piorou.","default","pending"
"low","-7","15","trash","918a4a95c47c","ManutInf","22","Preguiça","BRL","0.51","Manutenção eterna. Previsão: nunca volta.","default","pending"
"low","-7","13","trash","e30af1e3ee33","ServMort","20","Informação","BRL","0.48","Servidor caiu. Backup: não existe. Data loss total.","default","pending"
"low","-6","10","trash","96979c58c940","ErroFatal","16","Informação","BRL","0.43","Erro 500. Sempre. Resolução: impossível.","default","pending"
"low","-7","12","trash","a6025084bd18","BanInjusto","19","Impulso","BRL","0.47","Ban sem motivo. Appeal: negado. Automação falha.","default","pending"
"medium","-13","42","meme","001d7aba3e46","IdeiaViral","55","Influência","BRL","5.5","Teve a ideia antes. Não executou. Outro viralizou. Arrependimento eterno.","neon","pending"
"medium","-10","38","meme","d6677a9010ba","DropShipper","48","Ganância","BRL","4.8","Vende produto que nunca viu. Margem: 3%. ""Empresário"".","default","pending"
"medium","-13","45","meme","e459d68eb303","CoachMin","58","Ganância","BRL","5.8","Vendeu 3 cursos. Comprador: a mãe, a tia e ele próprio.","neon","pending"
"medium","-12","40","meme","9cf5fab4c584","PixGuru","52","Ganância","BRL","5.2","Ensina a ganhar dinheiro. Ganha: com quem quer aprender.","default","pending"
"medium","-13","43","meme","640c8272f2ec","TrendSurfer","56","Influência","BRL","5.6","Pula de trend em trend. Identidade: indefinida.","neon","pending"
"medium","-10","37","meme","4a55a9e6bf31","SigmaBluff","47","Impulso","BRL","4.7","Se diz sigma. Comportamento: beta documentado.","default","pending"
"medium","-12","41","meme","c63e3d6d26da","EngajaBot","53","Impulso","BRL","5.3","Comenta em todos os posts. Engajamento: comprado.","neon","pending"
"medium","-13","46","meme","8529027d3e9e","BuzzHunter","59","Informação","BRL","5.9","Caça buzz. Opina sem ler. Energia: reação instantânea.","glow","pending"
"medium","-11","39","meme","73e381ad1f64","ScrollMáq","50","Preguiça","BRL","5","Scroll 6h/dia. Produtivo: 0h. ""Pesquisando"".","default","pending"
"medium","-13","44","meme","fcd7b2e328b8","PodLord","57","Influência","BRL","5.7","Podcast ""top"". 20 ouvintes. Monetizado: nunca.","neon","pending"
"medium","-13","42","meme","baa60af4fe8d","HustleLarp","55","Ganância","BRL","5.5","Finge hustle. Acorda 11h. LinkedIn: acordei às 4AM.","default","pending"
